wavelength	depth	relative intensity	relative intensity error	layer stack: SC (16 um), ED (65 um), D
nm	µm	%	%	martin.guttmann@fbh-berlin.de
200	0.	96.44485792339363	3.8387558224961446e-8
200	2.	88.00639118053574	0.07031703132809891
200	4.	77.5986169285403	0.08259606666384625
200	6.	67.14332983544406	0.06850917123833578
200	8.	57.304783999029475	0.12311771985962126
200	10.	48.4356202112202	0.20072254641627152
200	12.	40.83287869939009	0.07395354259446199
200	14.	34.06464786295006	0.1075095501259714
200	16.	28.447602045610548	0.05936854178115109
200	21.	16.036225334824504	0.10214627749556984
200	26.	8.972541839605398	0.029758838299801964
200	31.	5.01004366973678	0.06306042590961028
200	36.	2.800914556626481	0.016784865978251632
200	41.	1.5466320773199185	0.017088545304616346
200	46.	0.8665391070359068	0.005358042267489811
200	51.	0.4786708811475343	0.0057120977516016995
200	56.	0.2692684095937159	0.004741204146971269
200	61.	0.1476548676512213	0.002480598209756773
200	66.	0.08270206920469614	0.0005371629928161218
200	71.	0.0444915013999613	0.0011394561058569507
200	76.	0.025472302928559506	0.0011489835743400479
200	81.	0.01358438482953194	0.0005600416866590826
200	91.	0.00392008878542303	0.00028627972294931984
200	101.	0.0010638144184992812	0.000030227815645755184
200	111.	0.0005132976747384485	0.0005997934668448663
200	121.	0.000057663469204563196	7.909008055189113e-6
200	131.	9.671721134197752e-6	2.360274542214806e-6
200	141.	2.3095144749121023e-6	0
205	0.	96.46572113061637	6.50491718307794e-8
205	2.	88.22569902430799	0.05641375048217929
205	4.	78.1939271857945	0.07788452327015297
205	6.	68.12240681623614	0.10788875111953632
205	8.	58.5927512987294	0.1106362812520259
205	10.	49.931506458330546	0.10500342571892628
205	12.	42.29589508914058	0.09994978878911126
205	14.	35.62362661370914	0.05201803950895518
205	16.	29.92526796961947	0.059373670318244864
205	21.	16.05405051109515	0.05452250989992463
205	26.	8.59515364888236	0.03928398991982
205	31.	4.555635357976942	0.032016763708474054
205	36.	2.4148990104669084	0.014075240729175716
205	41.	1.2968543287473104	0.008391877360131927
205	46.	0.688997984914658	0.008707854816204933
205	51.	0.36295228840185817	0.0033111441457010877
205	56.	0.19159562244077738	0.0035100275016558178
205	61.	0.0991531057140238	0.0019470687875189161
205	66.	0.05196625308223452	0.0004604980555776149
205	71.	0.027646604172823837	0.0007870235208521689
205	76.	0.014147472920990039	0.0004767971075874514
205	81.	0.007189023377390807	0.00022697449972007322
205	91.	0.001846605217350722	0.0001433347658063088
205	101.	0.0003890066332341634	0.00002444997056045528
205	111.	0.00008202888509170467	9.226327583376857e-6
205	121.	0.000011593386058977078	1.9821378126915156e-6
205	131.	1.6623589154894676e-6	0
205	141.	0	0
210	0.	96.48623528017396	2.6025355972478802e-8
210	2.	88.12821440772312	0.03527139875243115
210	4.	78.16898416120029	0.12342020387369414
210	6.	68.15026981764757	0.1149974969335226
210	8.	58.62744989285771	0.09562644159649258
210	10.	50.034416673242475	0.10668591877280788
210	12.	42.42981633271193	0.15397356873377857
210	14.	35.77001834137757	0.08519689451716014
210	16.	30.224795535434435	0.15608427093814398
210	21.	16.086550872093312	0.05559390405773016
210	26.	8.474656049574717	0.027296095815845734
210	31.	4.4481143999338215	0.029710301883250762
210	36.	2.3368014655172584	0.026140642851793624
210	41.	1.2125701126872883	0.008660799187268902
210	46.	0.6437914884090106	0.011083219293035792
210	51.	0.3397077595720527	0.004671400861098312
210	56.	0.17481285935426338	0.003375799307519838
210	61.	0.08977916104725626	0.0013089705250380799
210	66.	0.045664029350998905	0.0013177290991270773
210	71.	0.023474757328705544	0.0006582592329810987
210	76.	0.011879835043990185	0.00028656785057480156
210	81.	0.005782120134133364	0.0002798140744419774
210	91.	0.0012743310558271665	0.00006832703151343663
210	101.	0.00020972531247369887	9.378206339797108e-6
210	111.	0.00003426801238216962	4.5479712428683544e-6
210	121.	1.1882704777947237e-6	0
210	131.	0	0
210	141.	0	0
215	0.	96.5064237089282	2.3519908004940034e-8
215	2.	88.22046997355721	0.07452529502687412
215	4.	78.46372157891669	0.09605268222852738
215	6.	68.59614844480106	0.02477207087439607
215	8.	59.27906601040075	0.07731983537349876
215	10.	50.796231710489224	0.07821515922966493
215	12.	43.229582852340975	0.11744439983594943
215	14.	36.68469986177258	0.07186244018813893
215	16.	30.88479358359793	0.09168622124076459
215	21.	16.298261619220174	0.1053212982297423
215	26.	8.505854047525489	0.07240594102631383
215	31.	4.35637837727256	0.032870321261362655
215	36.	2.2431967101958703	0.014569420775087218
215	41.	1.157101063518564	0.0033047059776570055
215	46.	0.5982716169463913	0.00700132519973489
215	51.	0.30482809570227865	0.0006175905937673313
215	56.	0.1553752480046408	0.0030037933301388436
215	61.	0.07965193853958528	0.0012453549725573298
215	66.	0.040182421964609964	0.0010278913788122567
215	71.	0.0198146928573968	0.00031419641399908993
215	76.	0.009709461666217781	0.0002844038252124571
215	81.	0.004867207385466322	0.00017040569832453185
215	91.	0.0010180051621286532	0.00003487905768202774
215	101.	0.00017502717026224418	0.000018692323297899197
215	111.	0.00002979145494180599	2.3597481514665033e-6
215	121.	5.248401319711533e-7	0
215	131.	0	0
215	141.	0	0
220	0.	96.52627460019038	2.306045015647494e-8
220	2.	88.54206776851233	0.06648901976689003
220	4.	79.12853441823124	0.08097530510372068
220	6.	69.61328761660887	0.10104879068159558
220	8.	60.4962977793362	0.08871660700152373
220	10.	52.172315176242165	0.07920033434808386
220	12.	44.68278506533977	0.0911682557760245
220	14.	38.20932012076986	0.06355439869522714
220	16.	32.457927654762614	0.07875647843119829
220	21.	17.4650863225692	0.07197885057643914
220	26.	9.212821734754721	0.04441082539602501
220	31.	4.8516300846739355	0.014765489211808055
220	36.	2.561626910255734	0.018716773245050354
220	41.	1.3263563949755346	0.010467133409347601
220	46.	0.7046289337262797	0.008082091602765932
220	51.	0.3650267706466633	0.004849956530531609
220	56.	0.18998769841470184	0.002369220446582906
220	61.	0.09805490928760784	0.002671644730645892
220	66.	0.05016514886663218	0.0006286415608721831
220	71.	0.025685443180647825	0.0004565754538872236
220	76.	0.013092580179752844	0.0002439372223417055
220	81.	0.006481772175512345	0.00019505341347350404
220	91.	0.0014861415961716332	0.00014531251597357724
220	101.	0.0002914075304696041	0.0000341662865869536
220	111.	0.00005175938774727218	7.020496179143937e-6
220	121.	5.0575574766795305e-6	7.330602752298445e-7
220	131.	0	0
220	141.	0	0
225	0.	96.54578784769103	3.133392782441344e-8
225	2.	88.81679588918482	0.05001494958274577
225	4.	79.86595426806518	0.08086536006551417
