,Wavelength,Thymine,Guanine,Adenine,Cytosine,Mean Absorption Coefficient,Absorption Coefficient Std Dev
0,210,6.937717393866795e-05,6.960700858338658e-05,,0.0001093943853844,8.279285596881818e-05,2.3037886869828732e-05
1,211,6.746375965212697e-05,6.64115800608391e-05,,0.0001066630987423,8.017947948508868e-05,2.2941519940792524e-05
2,212,6.525417654590598e-05,6.385007716642731e-05,,0.0001031160548487,7.740676952034443e-05,2.227595986344836e-05
3,213,6.291340107056543e-05,6.075039879752712e-05,,9.997815659944372e-05,7.454731882251208e-05,2.205028973133351e-05
4,214,6.044600970409788e-05,5.83979069388981e-05,,9.660611331403412e-05,7.181667665234336e-05,2.149269198442084e-05
5,215,5.773980432140977e-05,5.522026857135704e-05,,9.296030954446796e-05,6.864012747907826e-05,2.1099536887553376e-05
6,216,5.534770159899014e-05,5.192750647822445e-05,,8.925892589258922e-05,6.55113779899346e-05,2.0636956103255253e-05
7,217,5.282148574710626e-05,4.887113921968013e-05,8.857503426683203e-05,8.676116163739924e-05,6.925720521775442e-05,2.1333007061873985e-05
8,218,5.042787613559168e-05,4.46784374528701e-05,7.264276042489607e-05,8.334346948208338e-05,6.27731358738603e-05,1.8260811067090288e-05
9,219,4.825974178127067e-05,3.846082484919902e-05,4.8899358175611126e-05,7.92288265988762e-05,5.371218785123925e-05,1.7669139047408163e-05
10,220,4.528257541499955e-05,3.328528687491179e-05,3.195121414613739e-05,7.574743960882579e-05,4.656662901121863e-05,2.0356595175286252e-05
11,221,4.221700488848223e-05,3.0275527959641016e-05,2.6137243215242177e-05,7.302664388060426e-05,4.291410498599242e-05,2.120100365038833e-05
12,222,3.843009213320847e-05,2.732791350206821e-05,2.28846196155454e-05,7.034255549107031e-05,3.97462951854731e-05,2.1419584821862418e-05
13,223,3.464572434618427e-05,2.527893472775365e-05,2.0524351353922887e-05,6.748394434038001e-05,3.6983238692060205e-05,2.116319700219387e-05
14,224,3.145580756396712e-05,2.380192340822261e-05,1.865356597836433e-05,6.516910136959642e-05,3.477009958003762e-05,2.0937425703264977e-05
15,225,2.870037713750544e-05,2.384067055211102e-05,1.6805102879623693e-05,6.300915142189895e-05,3.308882549778477e-05,2.0535922790892208e-05
16,226,2.6106016412098386e-05,2.5062993914313948e-05,1.5785242696365316e-05,6.065610784051384e-05,3.190259021582287e-05,1.9722356284903505e-05
17,227,2.329248703941432e-05,2.884911146837949e-05,1.530883173560595e-05,5.83452559783005e-05,3.1448921555425064e-05,1.8772335508061308e-05
18,228,2.055262780026876e-05,3.2401553939302906e-05,1.5085573251783564e-05,5.635445301286886e-05,3.109855200105602e-05,1.832293968083875e-05
19,229,1.927746476156593e-05,3.6026274736325646e-05,1.5444586894301983e-05,5.468025084361719e-05,3.1357144308952684e-05,1.7934103627978728e-05
20,230,1.8331584895497352e-05,3.938516777215244e-05,1.635062132361028e-05,5.3025814164428e-05,3.177329703892202e-05,1.7589282833548496e-05
21,231,1.7588297896659663e-05,4.175928724330763e-05,1.7547854318464035e-05,5.155513138186405e-05,3.211264271007385e-05,1.7264199659551583e-05
22,232,1.6886412295182408e-05,4.479318860977035e-05,1.980875273260385e-05,5.031468397805032e-05,3.295075940390173e-05,1.705407667285243e-05
23,233,1.6304658196424005e-05,4.79333838238424e-05,2.2099798125662124e-05,4.867651038752525e-05,3.3753587633363444e-05,1.6970918182931872e-05
24,234,1.608073250710163e-05,5.044095740019766e-05,2.416623081677102e-05,4.741018865400048e-05,3.45245273445177e-05,1.6998440007458314e-05
25,235,1.5856806817779262e-05,5.334624805444623e-05,2.638225252559588e-05,4.597757073004601e-05,3.5390719531966844e-05,1.7293627405706556e-05
26,236,1.5563150574251997e-05,5.61437173294515e-05,2.8766093111538183e-05,4.453012868854456e-05,3.625077242594656e-05,1.7778968093181962e-05
27,237,1.5517106740790415e-05,5.852197231307925e-05,3.149203003047433e-05,4.339475332668403e-05,3.723146560275701e-05,1.821836338263161e-05
